PID	Status	Label
33032	-9	com.apple.protectedcloudstorage.protectedcloudkeysyncing
474	0	com.apple.imklaunchagent
11618	0	com.apple.FileProvider
-	0	com.apple.imcore.imtransferagent
65735	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
599	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	-9	com.apple.EscrowSecurityAlert
-	-9	com.apple.MTLAssetUpgraderD
81541	0	com.apple.ptpcamerad
28435	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	78	rp2
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
48181	-9	com.apple.siriknowledged
3262	0	com.apple.powerchime
-	126	com.ginie.hide
457	0	com.apple.sharingd
515	0	com.apple.seserviced
-	0	com.apple.iCloudUserNotificationsd
89905	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
472	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
-	-9	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
-	-9	com.apple.TextInputSwitcher
638	0	com.apple.intelligentroutingd
-	-9	com.apple.AMPArtworkAgent
484	0	com.apple.imagent
496	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
-	-9	com.apple.assistant_cdmd
47962	-9	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
87951	0	com.apple.imautomatichistorydeletionagent
621	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
415	0	com.apple.talagent
501	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
447	0	com.apple.RemoteDesktop.agent
47829	-9	com.apple.iCloudNotificationAgent
664	-9	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
48275	-9	com.apple.Maps.mapssyncd
83418	-9	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
436	0	com.apple.usernotificationsd
-	-9	com.apple.FamilyControlsAgent
57356	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
407	0	com.apple.secd
425	0	com.apple.hiservices-xpcservice
-	-9	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
81771	0	com.apple.mdworker.shared.04000000-0500-0000-0000-000000000000
504	0	com.apple.assistantd
59679	-9	com.apple.siriinferenced
-	78	com.ginie.notify
456	0	com.apple.studentd
-	0	com.apple.FollowUpUI
505	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
540	0	com.apple.uikitsystemapp
430	0	com.apple.controlstrip
-	-9	com.apple.financed
-	-9	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
17502	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
-	0	com.apple.assessmentagent
-	127	com.ginie.dashboardupdate
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
60229	-9	com.apple.scopedbookmarksagent.xpc
513	0	com.apple.ensemble
9720	-9	com.apple.ReportCrash
-	0	com.apple.biomesyncd
-	-9	com.apple.ciphermld
47830	-9	com.apple.UsageTrackingAgent
-	-9	com.apple.email.maild
-	126	com.ginie.earnloop
459	0	com.apple.donotdisturbd
-	0	com.apple.locationaccessstored
-	78	com.OperaHelper
-	2	com.apple.GinieLearn
-	78	com.nbp
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	78	homebrew.mxcl.php
-	0	com.apple.voicememod
81530	-9	com.apple.gamed
-	0	com.apple.STMUIHelper
92770	0	application.com.apple.Safari.247779.248497
66013	-9	com.apple.intelligencecontextd
396	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
443	0	com.apple.mobiledeviceupdater
-	0	com.apple.helpd
-	-9	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	78	com.ginie.vaultloader
446	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
92798	0	com.apple.passd
67023	0	com.apple.DictationIM
34479	-9	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
-	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
453	0	com.apple.CoreAuthentication.agent
448	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
478	0	com.apple.chronod
586	0	com.apple.accessibility.heard
587	0	com.apple.corespeechd
91401	-9	com.apple.geoanalyticsd
-	0	com.gini.backup.shutdown
-	0	com.apple.AMPSystemPlayerAgent
43364	-9	com.apple.itunescloudd
-	0	com.apple.scrod
-	127	com.ginie.autoboot
-	-9	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
-	-9	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
59424	-9	com.apple.milod
-	0	com.apple.bookdatastored
75066	-9	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
77401	0	application.com.apple.ScriptEditor2.1152921500311911396.1152921500311911401
594	0	chunago
-	0	com.apple.XProtect.agent.scan.startup
48219	-9	com.apple.amsengagementd
-	-9	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
-	-9	com.apple.proactiveeventtrackerd
71281	-9	com.apple.proactived
63580	-9	com.apple.ModelCatalogAgent
399	0	com.apple.universalaccessd
47883	-9	com.apple.linkd
93155	0	application.com.apple.AppStore.1152921500311879708.1152921500311879713
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
79927	-9	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
9504	-9	com.apple.recentsd
17386	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
83652	-9	com.apple.sirittsd
75682	-9	com.apple.dprivacyd
434	0	com.apple.usernoted
-	-9	com.apple.geodMachServiceBridge
11928	0	com.apple.Safari.History
-	-9	com.apple.translationd
-	0	com.apple.AddressBook.abd
48001	-9	com.apple.calaccessd
-	78	com.Unrented
-	126	com.ginie.unhide
-	0	com.apple.ScreenReaderUIServer
-	-9	com.apple.newsd
-	1	homebrew.mxcl.httpd
-	0	com.apple.systemsettingsagent
19297	0	com.electron.ollama.ShipIt
-	78	com.TimeCheck.app
50706	-9	com.apple.swcd
609	0	com.apple.AirPlayUIAgent
-	-9	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
630	0	application.com.electron.ollama.70243858.70243864
527	0	com.apple.corespotlightd
-	-9	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
463	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
78429	0	application.com.apple.Console.1152921500311910488.1152921500311910493
16945	0	com.apple.Spotlight
17194	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
81772	0	com.apple.mdworker.shared.0C000000-0200-0000-0000-000000000000
-	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	-9	com.apple.mdworker.sizing
67024	0	com.apple.SpeechRecognitionCore.brokerd
17452	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
-	0	com.apple.WorkflowKit.ShortcutsViewService
-	-9	com.apple.carboncore.csnameddata
47977	-9	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
282	0	com.apple.distnoted.xpc.agent
48228	-9	com.apple.SetStoreUpdateService
482	0	com.apple.geod
